Reading training examples... (1000 examples) done
Training set properties: 51 features, 20 classes
Iter 222: *(NumConst=121, SV=64, CEps=15.9454, QPEps=5.4878)
Iter 223: *(NumConst=121, SV=65, CEps=12.0728, QPEps=5.5240)
Iter 224: *(NumConst=122, SV=65, CEps=10.9317, QPEps=5.4128)
Iter 225: *(NumConst=123, SV=66, CEps=9.9962, QPEps=4.8301)
Iter 226: *(NumConst=123, SV=65, CEps=14.0472, QPEps=4.7067)
Iter 227: *(NumConst=120, SV=68, CEps=13.8410, QPEps=4.5079)
Iter 228: *(NumConst=118, SV=64, CEps=17.5030, QPEps=4.4013)
Iter 229: *(NumConst=115, SV=65, CEps=11.9189, QPEps=4.5192)
Iter 230: *(NumConst=113, SV=68, CEps=17.4280, QPEps=4.9517)
Iter 231: *(NumConst=112, SV=67, CEps=11.9693, QPEps=4.8249)
Iter 232: *(NumConst=112, SV=66, CEps=11.6400, QPEps=4.9322)
Iter 233: *(NumConst=111, SV=65, CEps=12.0715, QPEps=4.8141)
Iter 234: *(NumConst=110, SV=66, CEps=13.8228, QPEps=4.8524)
Iter 235: *(NumConst=110, SV=67, CEps=10.9321, QPEps=4.9200)
Iter 236: *(NumConst=109, SV=67, CEps=11.1402, QPEps=4.6807)
Iter 237: *(NumConst=107, SV=67, CEps=10.7481, QPEps=4.5662)
Iter 238: *(NumConst=107, SV=68, CEps=10.8730, QPEps=4.7067)
Iter 239: *(NumConst=108, SV=70, CEps=9.6532, QPEps=4.3554)
Iter 240: *(NumConst=108, SV=70, CEps=11.2557, QPEps=4.7598)
Iter 241: *(NumConst=109, SV=71, CEps=10.4247, QPEps=4.7916)
Iter 242: *(NumConst=109, SV=74, CEps=8.7679, QPEps=4.0938)
Iter 243: *(NumConst=109, SV=70, CEps=13.7938, QPEps=4.1428)
Iter 244: *(NumConst=109, SV=72, CEps=8.7745, QPEps=4.2017)
Iter 245: *(NumConst=110, SV=71, CEps=9.1175, QPEps=4.2911)
Iter 246: *(NumConst=110, SV=69, CEps=9.0780, QPEps=4.0337)
Iter 247: *(NumConst=110, SV=71, CEps=8.4701, QPEps=4.2213)
Iter 248: *(NumConst=108, SV=73, CEps=9.0857, QPEps=3.7168)
Iter 249: *(NumConst=109, SV=71, CEps=8.0015, QPEps=3.8467)
Iter 250: *(NumConst=110, SV=72, CEps=8.8151, QPEps=3.9132)
Iter 251: *(NumConst=111, SV=73, CEps=7.6486, QPEps=3.7765)
Iter 252: *(NumConst=112, SV=74, CEps=8.7151, QPEps=3.7899)
Iter 253: *(NumConst=112, SV=74, CEps=6.6224, QPEps=3.2373)
Iter 254: *(NumConst=113, SV=77, CEps=7.2496, QPEps=3.3081)
Iter 255: *(NumConst=114, SV=77, CEps=7.2350, QPEps=3.1056)
Iter 256: *(NumConst=114, SV=77, CEps=7.5357, QPEps=3.1373)
Iter 257: *(NumConst=115, SV=77, CEps=7.6865, QPEps=3.1507)
Iter 258: *(NumConst=116, SV=78, CEps=7.3930, QPEps=3.2213)
Iter 259: *(NumConst=117, SV=79, CEps=8.1195, QPEps=3.3042)
Iter 260: *(NumConst=117, SV=81, CEps=7.6915, QPEps=3.2350)
Iter 261: *(NumConst=118, SV=82, CEps=6.0980, QPEps=2.9692)
Iter 262: *(NumConst=117, SV=82, CEps=5.8392, QPEps=2.6434)
Iter 263: *(NumConst=118, SV=82, CEps=6.2332, QPEps=2.6493)
Iter 264: *(NumConst=119, SV=82, CEps=5.5572, QPEps=2.7239)
Iter 265: *(NumConst=120, SV=82, CEps=7.1700, QPEps=2.5664)
Iter 266: *(NumConst=121, SV=82, CEps=8.1896, QPEps=2.6995)
Iter 267: *(NumConst=122, SV=81, CEps=6.8455, QPEps=2.5745)
Iter 268: *(NumConst=122, SV=79, CEps=6.1398, QPEps=2.6479)
Iter 269: *(NumConst=123, SV=81, CEps=6.3708, QPEps=2.7458)
Iter 270: *(NumConst=123, SV=80, CEps=5.4920, QPEps=2.7430)
Iter 271: *(NumConst=121, SV=82, CEps=5.5148, QPEps=2.6474)
Iter 272: *(NumConst=121, SV=85, CEps=6.4807, QPEps=2.6808)
Iter 273: *(NumConst=121, SV=85, CEps=7.7766, QPEps=2.7326)
Iter 274: .........*(NumConst=121, SV=92, CEps=35.1513, QPEps=15.7302)
Iter 275: *(NumConst=121, SV=90, CEps=22.1578, QPEps=7.7699)
Iter 276: *(NumConst=122, SV=89, CEps=17.8512, QPEps=7.8113)
Iter 277: *(NumConst=122, SV=88, CEps=17.1306, QPEps=7.5493)
Iter 278: *(NumConst=121, SV=87, CEps=14.1745, QPEps=6.6141)
Iter 279: *(NumConst=122, SV=85, CEps=11.9907, QPEps=5.8670)
Iter 280: *(NumConst=123, SV=87, CEps=12.0513, QPEps=5.7092)
Iter 281: *(NumConst=123, SV=88, CEps=13.5062, QPEps=5.2107)
Iter 282: *(NumConst=122, SV=88, CEps=14.0170, QPEps=5.4879)
Iter 283: *(NumConst=123, SV=88, CEps=13.6217, QPEps=5.7790)
Iter 284: *(NumConst=124, SV=87, CEps=11.2700, QPEps=5.4735)
Iter 285: *(NumConst=125, SV=88, CEps=12.8744, QPEps=5.1319)
Iter 286: *(NumConst=125, SV=88, CEps=13.7840, QPEps=4.3259)
Iter 287: *(NumConst=126, SV=89, CEps=10.6815, QPEps=5.1336)
Iter 288: *(NumConst=127, SV=89, CEps=10.1399, QPEps=4.7151)
Iter 289: *(NumConst=127, SV=89, CEps=12.0015, QPEps=4.9528)
Iter 290: *(NumConst=128, SV=87, CEps=11.2306, QPEps=5.0340)
Iter 291: *(NumConst=128, SV=89, CEps=10.9435, QPEps=4.7363)
Iter 292: *(NumConst=126, SV=91, CEps=10.4162, QPEps=4.7547)
Iter 293: *(NumConst=127, SV=91, CEps=9.4102, QPEps=4.3523)
Iter 294: *(NumConst=127, SV=93, CEps=11.0083, QPEps=4.5242)
Iter 295: *(NumConst=127, SV=92, CEps=9.8095, QPEps=4.4750)
Iter 296: *(NumConst=128, SV=91, CEps=10.4339, QPEps=4.5548)
Iter 297: *(NumConst=129, SV=91, CEps=8.5645, QPEps=4.0481)
Iter 298: *(NumConst=129, SV=94, CEps=8.7654, QPEps=4.1496)
Iter 299: *(NumConst=130, SV=94, CEps=10.2196, QPEps=4.2467)
Iter 300: *(NumConst=131, SV=96, CEps=8.4473, QPEps=4.0674)
Iter 301: *(NumConst=132, SV=93, CEps=8.2110, QPEps=3.9230)
Iter 302: *(NumConst=132, SV=92, CEps=9.8986, QPEps=3.9945)
Iter 303: *(NumConst=133, SV=93, CEps=8.1043, QPEps=3.7053)
Iter 304: *(NumConst=134, SV=92, CEps=8.4997, QPEps=4.0382)
Iter 305: *(NumConst=135, SV=94, CEps=8.4279, QPEps=3.9649)
Iter 306: *(NumConst=135, SV=95, CEps=9.6518, QPEps=3.9332)
Iter 307: *(NumConst=136, SV=94, CEps=8.6372, QPEps=4.0016)
Iter 308: *(NumConst=137, SV=94, CEps=8.0099, QPEps=3.9396)
Iter 309: *(NumConst=138, SV=92, CEps=7.2292, QPEps=3.1774)
Iter 310: *(NumConst=138, SV=92, CEps=7.5100, QPEps=3.1655)
Iter 311: *(NumConst=139, SV=90, CEps=8.0476, QPEps=3.6140)
Iter 312: *(NumConst=140, SV=90, CEps=7.9401, QPEps=3.5790)
Iter 313: *(NumConst=140, SV=90, CEps=8.3516, QPEps=3.5326)
Iter 314: *(NumConst=140, SV=93, CEps=7.2094, QPEps=3.5197)
Iter 315: *(NumConst=140, SV=93, CEps=7.6721, QPEps=2.9796)
Iter 316: *(NumConst=139, SV=94, CEps=6.9144, QPEps=2.8920)
Iter 317: *(NumConst=140, SV=93, CEps=6.7052, QPEps=3.3174)
Iter 318: *(NumConst=141, SV=93, CEps=6.7771, QPEps=3.2934)
Iter 319: *(NumConst=141, SV=94, CEps=6.0041, QPEps=2.9471)
Iter 320: *(NumConst=142, SV=94, CEps=6.1979, QPEps=2.8798)
Iter 321: *(NumConst=143, SV=95, CEps=6.6340, QPEps=2.9685)
Iter 322: *(NumConst=144, SV=94, CEps=5.7708, QPEps=2.8671)
Iter 323: *(NumConst=145, SV=93, CEps=6.2151, QPEps=2.8560)
Iter 324: *(NumConst=145, SV=93, CEps=6.3095, QPEps=2.8467)
Iter 325: *(NumConst=143, SV=93, CEps=6.3681, QPEps=2.8060)
Iter 326: *(NumConst=143, SV=95, CEps=5.7537, QPEps=2.7050)
Iter 327: *(NumConst=144, SV=95, CEps=5.4810, QPEps=2.6783)
Iter 328: *(NumConst=143, SV=94, CEps=6.8395, QPEps=2.7225)
Iter 329: *(NumConst=144, SV=94, CEps=5.9397, QPEps=2.5400)
Iter 330: *(NumConst=145, SV=92, CEps=7.6004, QPEps=2.7285)
Iter 331: *(NumConst=146, SV=93, CEps=5.9045, QPEps=2.6236)
Iter 332: *(NumConst=147, SV=94, CEps=5.0936, QPEps=2.4839)
Iter 333: *(NumConst=147, SV=93, CEps=5.7745, QPEps=2.5260)
Iter 334: *(NumConst=148, SV=92, CEps=6.1173, QPEps=2.5401)
Iter 335: *(NumConst=149, SV=92, CEps=4.7803, QPEps=2.3733)
Iter 336: *(NumConst=147, SV=93, CEps=4.7477, QPEps=2.3100)
Iter 337: *(NumConst=146, SV=94, CEps=5.2450, QPEps=2.3024)
Iter 338: *(NumConst=145, SV=95, CEps=4.7389, QPEps=2.2063)
Iter 339: *(NumConst=144, SV=96, CEps=5.4918, QPEps=2.3035)
Iter 340: *(NumConst=145, SV=94, CEps=5.2252, QPEps=2.2006)
Iter 341: *(NumConst=146, SV=95, CEps=4.6480, QPEps=2.2357)
Iter 342: *(NumConst=147, SV=94, CEps=4.6166, QPEps=2.2012)
Iter 343: *(NumConst=148, SV=94, CEps=5.0734, QPEps=2.1361)
Iter 344: *(NumConst=147, SV=95, CEps=4.4842, QPEps=2.1669)
Iter 345: *(NumConst=148, SV=96, CEps=4.6961, QPEps=2.2352)
